-553493	3.0149
101999	1.70475
107785	1.70475
12	1.70475
200496	1.70475
22906	1.70475
347976	1.70475
356463	1.70475
36639	1.70475
366709	1.70475
367802	1.70475
472291	1.70475
48874	1.70475
553493	1.70475
alge	3.0149
cc	3.0149
ct	3.0149
cx	3.0149
dd11	2.60944
f	1.70475
gkkk	3.0149
libya	3.0149
ll	3.0149
loay	2.60944
lyct	3.0149
map	2.60944
maroc	3.0149
marooc	3.0149
mistir	3.0149
mm	3.0149
n15	3.0149
ne	3.0149
new	3.0149
no	3.0149
pari	3.0149
paris	1.70475
park	2.32176
parking	1.70475
pc	2.32176
tuni	3.0149
tunis	1.70475
vvv	3.0149
wifi	3.0149
